product_id,category,subcategory,product_name
P-001,Eletronicos,Acessorios,Fone Bluetooth Basic
P-002,Eletronicos,Acessorios,Carregador Turbo USB-C
P-003,Casa,Cozinha,Panela Antiaderente 5L
P-004,Casa,Eletroportateis,Air Fryer Digital 4L
P-005,Beleza,Cuidado Pessoal,Sabonete Liquido Premium
P-006,Beleza,Cuidado Pessoal,Secador Compacto
P-007,Esporte,Fitness,Bicicleta Ergometrica Compacta
P-008,Esporte,Acessorios,Garrafa Termica 700ml
P-009,Moda,Acessorios,Cinto Casual
P-010,Moda,Calcados,Tenis Urbano
P-011,Eletronicos,Audio,Caixa de Som Portatil
P-012,Casa,Organizacao,Kit Organizadores
